"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.25649284919796","8.96323110732515","9.41888780326632","9.64139940689668","9.64664468391035","9.45445325181051","9.24694812995562","9.02519145128452","8.65803269616285","8.25446033952177","7.87750094526815","7.41932710616858","6.98260794159119","6.56244816246649","6.16387729121028","5.76630363744621","5.43005295936945","5.11788877487954","4.85053902342037","4.58589502608276","4.32302853017276","4.04319046922522","3.78759937918082","3.51365967382549","3.21645148825862","2.93198689480045","2.63460583137193","2.32550331371022","2.09567252871806","1.87244203265473","1.67646295772745","1.486257635641","1.28619424810231","",
"Afghanistan","AFG","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","",
"Africa Western and Central","AFW","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92","1.04","1.17","1.27","1.41","1.54","1.63","1.75","1.87","1.93","2.01","2.02","2.04","2.11","2.12","2.07","2.07","2.02","1.97","1.88","1.76","1.68","1.57","1.39","1.21","1.09","1.03","0.97","0.9","0.85","0.8","0.74","0.68","",
"Albania","ALB","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","",
"Andorra","AND","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0238661827385215","0.0271184527489622","0.0285966091613251","0.0288701543882825","0.0307776738674839","0.0326744977117682","0.034133714486809","0.0341523265285181","0.0360518906411463","0.0353647233641176","0.0351806145911482","0.0332940932647999","0.0311287945367304","0.0300126107385738","0.029880824958216","0.0294878672869798","0.0298759941346991","0.0284115931678094","0.0293591785908756","0.0271981503719657","0.0271680366860932","0.0298142786088281","0.0310030149092159","0.0300707660739319","0.0303220628326238","0.0320101413659356","0.0334702221199574","0.0336968333867737","0.0345413317835575","0.0372789626797205","0.0371869813174463","0.0392680335866636","0.0445481296345725","",
"United Arab Emirates","ARE","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.39","0.4","0.41","0.4","0.38","0.37","0.36","0.35","0.33","0.31","0.3","0.29","0.29","0.28","0.28","0.28","0.28","0.27","0.27","0.26","0.26","0.25","0.25","0.24","0.23","0.23","0.22","0.21","0.2","0.19","0.18","0.17","",
"Armenia","ARM","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.03","0.04","0.05","0.06","0.08","0.09","0.1","0.11","0.12","0.13","0.13","0.14","0.15","0.16","0.17","0.17","0.17","0.17","0.17","",
"American Samoa","ASM","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.01","","",
"Austria","AUT","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.02","0.03","0.04","0.06","0.07","0.09","0.1","0.11","0.11","0.12","0.12","0.11","0.11","0.1","0.09","0.09","0.08","0.08","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","",
"Burundi","BDI","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17","7.4","6.14","4.21","3.98","3.65","3.08","2.51","2.1","1.81","1.48","1.26","1.09","1.04","0.86","0.75","0.76","0.71","0.64","0.57","0.52","0.48","0.44","0.4","0.37","0.34","0.28","0.22","0.18","0.16","0.15","0.14","0.13","",
"Belgium","BEL","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.07","0.07","0.07","0.07","0.07","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.07","0.07","0.06","0.06","0.05","0.05","0.05","0.04","0.04","0.04","0.04","",
"Benin","BEN","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71","1.99","2.17","2.36","2.31","2.45","2.33","2.09","1.93","1.75","1.56","1.44","1.36","1.26","1.16","1.12","1.04","0.99","0.9","0.76","0.65","0.59","0.54","0.49","0.48","0.4","0.36","0.31","0.26","0.2","0.18","0.17","0.14","",
"Burkina Faso","BFA","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17","3.02","2.76","2.39","2.07","1.73","1.56","1.36","1.27","1.12","1.01","0.89","0.83","0.74","0.69","0.65","0.58","0.51","0.46","0.43","0.37","0.33","0.29","0.26","0.23","0.19","0.17","0.13","0.12","0.1","0.09","0.09","0.08","",
"Bangladesh","BGD","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","",
"Bulgaria","BGR","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.04","0.05","0.05","0.06","0.06","0.06","0.07","0.07","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.1","0.1","0.1","",
"Bahrain","BHR","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56","1.6","1.59","1.55","1.48","1.4","1.33","1.24","1.16","1.09","1.02","0.96","0.9","0.84","0.79","0.75","0.72","0.73","0.78","0.83","0.82","0.77","0.72","0.66","0.61","0.55","0.51","0.46","0.42","0.38","0.35","0.31","0.28","",
"Bosnia and Herzegovina","BIH","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.03","0.04","0.05","0.07","0.08","0.1","0.13","0.16","0.19","0.21","0.23","0.25","0.27","0.28","0.28","0.29","0.28","0.28","0.27","0.25","0.23","0.2","0.18","0.16","0.15","0.15","",
"Belize","BLZ","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","0.38","0.54","0.74","0.96","1.15","1.3","1.39","1.44","1.44","1.43","1.39","1.36","1.32","1.29","1.26","1.24","1.23","1.23","1.24","1.24","1.23","1.2","1.16","1.11","1.05","1","0.95","0.91","0.86","0.81","0.77","0.73","",
"Bermuda","BMU","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.13","0.19","0.27","0.22","0.17","0.14","0.15","0.15","0.16","0.16","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.14","0.14","0.14","0.14","0.14","0.13","0.13","0.13","0.13","0.13","0.12","0.12","0.11","0.12","0.11","",
"Brazil","BRA","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","0.49","0.67","0.85","1.02","1.12","1.14","1.1","1.03","0.96","0.9","0.86","0.82","0.77","0.69","0.68","0.72","0.78","0.84","0.87","0.87","0.85","0.83","0.8","0.78","0.76","0.75","0.72","0.68","0.65","0.6","0.59","0.58","",
"Brunei Darussalam","BRN","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.02","0.02","0.03","0.05","0.07","0.09","0.12","0.14","0.15","0.16","0.15","0.15","0.13","0.11","0.1","0.09","0.08","0.08","0.07","0.07","0.06","0.06","0.06","0.06","0.05","0.05","0.05","0.05","0.05","",
"Botswana","BWA","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.87","34.69","42.46","47.27","48.6","46.91","43.4","39.16","34.99","31.26","28.08","25.37","23.06","20.88","18.73","16.49","14.7","13.3","12.08","11.16","10.56","10.33","9.54","8.8","8.53","8.11","7.2","6.46","5.56","4.55","4.08","3.57","3.15","",
